token,coefficient
the,-10.712605054514208
is,-6.983800182932884
and,-6.858859121340584
trumps,-5.175022801283676
your,-4.882768333796075
trump,-4.861396910628239
an,-4.603162059548013
donald,-4.516059293930525
why,-4.3545442596216795
how,-4.239540945908332
are,-3.8143218367647496
my,-3.746485250387905
accused,-3.612869091729041
heres,-3.388651350396202
this,-3.3332323989261035
these,-3.0704330247430436
ways,-3.051391441483374
her,-2.967783327597545
watch,-2.962990557747079
hillary,-2.8927145743717877
